electorate_name | candidate_name | candidate_votes | party_name | party_votes 
New Lynn | ABEL, Steve | 5376 | Green Party | 6859
New Lynn | ALVAREZ DE LUGO, Juan | 2301 | ACT New Zealand | 3183
New Lynn | GARCIA, Paulo | 15886 | National Party | 15287
New Lynn | MANN, Phineas | 216 |  | 
New Lynn | OLIVER, Steve | 1148 | New Zealand Loyal | 454
New Lynn | RUSSELL, Deborah | 14873 | Labour Party | 11020
New Lynn |  |  | Animal Justice Party | 69
New Lynn |  |  | Aotearoa Legalise Cannabis Party | 152
New Lynn |  |  | DemocracyNZ | 72
New Lynn |  |  | Freedoms NZ | 104
New Lynn |  |  | Leighton Baker Party | 7
New Lynn |  |  | New Conservatives | 60
New Lynn |  |  | New Nation Party | 15
New Lynn |  |  | New Zealand First Party | 2020
New Lynn |  |  | NewZeal | 221
New Lynn |  |  | Te Pāti Māori | 502
New Lynn |  |  | The Opportunities Party (TOP) | 903
New Lynn |  |  | Women’s Rights Party | 40
